Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,22/09/2021,FALSE,Blackalls Park Running,5.01,317,0:26:04,145,162,168,177,5:12,4:36,23,95,1.14,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:03.1,6,0,0:25:59,0:26:04,-60,13
Running,17/09/2021,FALSE,Blackalls Park Running,5.03,369,0:26:20,161,192,169,178,5:14,4:26,23,25,1.13,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:09.7,6,0,0:26:18,0:26:20,10,21
Running,15/09/2021,FALSE,Blackalls Park Running,4.54,338,0:23:53,161,193,164,174,5:16,4:23,20,25,1.16,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:32.4,5,0,0:23:29,0:23:53,8,19
Running,10/09/2021,FALSE,Blackalls Park Running,6.82,568,0:39:33,164,191,162,188,5:48,4:43,72,77,1.06,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,04:30.0,7,0,0:39:28,0:39:33,6,49
Running,7/09/2021,FALSE,Blackalls Park Running,5.16,409,0:29:25,158,173,161,176,5:42,4:10,51,49,1.09,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:42.0,6,0,0:29:04,0:29:25,11,34
Running,3/09/2021,FALSE,Blackalls Park Running,5.04,352,0:26:14,152,174,168,176,5:12,4:05,25,25,1.14,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:09.3,6,0,0:26:12,0:26:14,12,23
Running,31/08/2021,FALSE,Blackalls Park Running,5.06,363,0:28:48,149,164,163,176,5:42,4:44,51,50,1.08,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:15.2,6,0,0:28:47,0:28:48,12,35
Running,23/08/2021,FALSE,Blackalls Park Running,5.52,393,0:30:47,149,163,159,178,5:34,4:31,19,14,1.12,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:43.5,6,0,0:29:18,0:30:47,8,17
Cycling,22/08/2021,FALSE,Blackalls Park Cycling,69.59,"1,698",2:53:49,147,176,--,--,24,56,357,328,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,09:58.8,14,0,2:44:26,2:53:49,-64,104
Running,20/08/2021,FALSE,Blackalls Park Running,5.31,374,0:30:05,147,162,153,204,5:40,2:43,60,63,1.26,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:50.9,6,0,0:29:24,0:30:05,-68,-40
Running,17/08/2021,FALSE,Blackalls Park Running,5.1,313,0:27:14,140,159,167,175,5:21,4:32,60,61,1.12,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:30.4,6,0,0:27:02,0:27:14,-66,-40
Running,13/08/2021,FALSE,Blackalls Park Running,5.14,407,0:27:56,168,194,166,177,5:26,4:47,60,64,1.11,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:39.3,6,0,0:27:55,0:27:56,-67,-40
Running,10/08/2021,FALSE,Blackalls Park Running,5.38,387,0:29:59,153,166,166,175,5:34,4:47,59,60,1.08,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:59.8,6,0,0:29:52,0:29:59,-65,-40
